Date,Open,High,Low,Close,Volume,,
26/10/2006,16.315,16.648,15.823,16.022,1364146,,
27/10/2006,16.022,16.259,15.863,16.16,675960,,
30/10/2006,16.042,16.344,15.982,16.306,436677,,
31/10/2006,16.306,16.422,16.2,16.277,464349,,
01/11/2006,16.372,16.589,16.14,16.15,454718,,
02/11/2006,15.992,16.277,15.863,16.022,340349,,
03/11/2006,16.14,16.392,15.982,16.219,406247,,
06/11/2006,16.277,16.708,16.277,16.618,349369,,
07/11/2006,16.608,16.873,16.579,16.608,290506,,
08/11/2006,16.48,17.002,16.315,16.844,331480,,
09/11/2006,16.844,16.902,16.549,16.628,241119,,
10/11/2006,16.549,16.902,16.53,16.882,139595,,
13/11/2006,16.902,16.982,16.727,16.863,292796,,
14/11/2006,16.854,17.002,16.785,17.002,534679,,
15/11/2006,17.002,17.454,16.982,17.259,728554,,
16/11/2006,17.306,17.316,16.942,17.06,1008050,,
17/11/2006,17.06,17.249,16.805,16.942,289738,,
20/11/2006,16.962,17.139,16.815,17.031,697823,,
21/11/2006,17.011,17.229,16.932,17.169,235001,,
22/11/2006,17.199,17.316,17.06,17.159,203661,,
24/11/2006,17.169,17.199,17.06,17.129,179805,,
27/11/2006,17.002,17.06,16.668,16.824,461598,,
28/11/2006,16.805,17.12,16.805,17.11,283317,,
29/11/2006,17.199,17.549,17.179,17.502,478416,,
30/11/2006,17.511,17.609,17.267,17.473,269711,,
01/12/2006,17.395,17.473,17.021,17.414,306558,,
04/12/2006,17.385,17.963,17.385,17.885,348914,,
05/12/2006,17.915,18.307,17.836,18.257,499363,,
06/12/2006,18.15,18.345,17.982,18.18,338665,,
07/12/2006,18.12,18.17,17.826,17.855,191734,,
08/12/2006,17.748,18.16,17.589,18.061,516793,,
11/12/2006,17.943,18.15,17.943,18.12,244177,,
12/12/2006,18.16,18.19,17.806,17.934,234697,,
13/12/2006,18.08,18.325,18.032,18.287,679323,,
14/12/2006,18.257,18.944,18.257,18.689,466948,,
15/12/2006,18.699,18.737,18.434,18.532,532691,,
18/12/2006,18.502,18.502,18.14,18.199,263286,,
19/12/2006,18.12,18.18,17.806,18.032,577035,,
20/12/2006,18.08,18.374,18.022,18.238,227664,,
21/12/2006,18.287,18.374,17.934,18.1,972425,,
22/12/2006,18.012,18.022,17.738,17.963,582231,,
26/12/2006,17.895,18.463,17.895,18.287,244787,,
27/12/2006,18.434,18.728,18.414,18.651,181183,,
28/12/2006,18.611,18.905,18.611,18.767,244787,,
29/12/2006,18.709,19.161,18.671,18.826,662349,,
03/01/2007,18.924,19.043,18.219,18.443,835888,,
04/01/2007,18.443,18.963,18.354,18.845,421386,,
05/01/2007,18.709,18.767,18.354,18.424,263136,,
08/01/2007,18.374,18.845,18.238,18.709,254267,,
09/01/2007,18.671,18.895,18.394,18.641,284387,,
10/01/2007,18.542,18.757,18.522,18.601,204423,,
11/01/2007,18.671,18.983,18.482,18.905,281024,,
12/01/2007,18.845,19.121,18.845,19.003,182102,,
16/01/2007,19.063,19.336,18.826,18.924,460986,,
17/01/2007,18.826,18.944,18.709,18.816,294787,,
18/01/2007,18.767,18.983,18.512,18.767,218030,,
19/01/2007,18.836,19.395,18.806,19.375,421232,,
22/01/2007,19.395,19.433,18.641,18.709,468168,,
23/01/2007,18.641,19.316,18.611,19.258,411903,,
24/01/2007,19.248,19.356,19.093,19.239,181183,,
25/01/2007,19.248,19.258,18.631,18.747,310229,,
26/01/2007,18.747,19.063,18.689,19.033,230415,,
29/01/2007,18.954,19.326,18.885,19.161,216807,,
30/01/2007,19.161,19.336,18.983,19.23,168340,,
31/01/2007,19.131,19.433,18.826,19.308,389121,,
01/02/2007,19.308,19.551,18.865,19.326,439583,,
02/02/2007,19.336,19.423,19.102,19.395,243566,,
05/02/2007,19.316,19.482,19.21,19.258,302736,,
06/02/2007,19.278,19.76,19.248,19.69,230263,,
07/02/2007,19.789,19.895,19.541,19.847,285764,,
08/02/2007,19.789,19.847,19.463,19.551,277352,,
09/02/2007,19.511,19.611,19.073,19.19,227054,,
12/02/2007,19.063,19.336,19.023,19.22,217160,,
13/02/2007,19.22,19.492,19.063,19.356,161489,,
14/02/2007,19.316,19.621,19.316,19.356,197543,,
15/02/2007,19.316,19.492,19.161,19.395,172468,,
16/02/2007,19.395,19.7,19.161,19.67,312980,,
20/02/2007,19.501,19.984,19.463,19.984,296772,,
21/02/2007,19.453,19.651,18.325,18.601,1507872,,
22/02/2007,18.552,18.641,18.07,18.414,916619,,
23/02/2007,18.414,18.492,18.219,18.424,401508,,
26/02/2007,18.414,18.631,18.16,18.532,492923,,
27/02/2007,18.042,18.335,17.678,18.08,894449,,
28/02/2007,18.051,18.335,17.473,17.895,1025481,,
01/03/2007,17.629,18.18,17.267,17.826,819258,,
02/03/2007,17.708,17.816,17.335,17.345,504562,,
05/03/2007,17.229,17.688,17.179,17.259,479027,,
06/03/2007,17.395,18.15,17.355,17.895,428874,,
07/03/2007,17.806,17.963,17.539,17.688,374138,,
08/03/2007,17.768,17.953,17.502,17.569,592324,,
09/03/2007,17.579,17.924,17.473,17.885,369555,,
12/03/2007,17.885,18.002,17.768,17.826,247998,,
13/03/2007,17.668,17.678,17.139,17.219,430100,,
14/03/2007,17.159,17.482,16.982,17.444,516182,,
15/03/2007,17.473,17.768,17.473,17.678,592781,,
16/03/2007,17.659,17.659,17.219,17.482,745526,,
19/03/2007,17.529,17.639,17.297,17.511,433158,,
20/03/2007,17.539,17.609,17.434,17.559,351357,,
21/03/2007,17.52,17.52,16.982,17.335,1029763,,
22/03/2007,17.326,17.454,17.129,17.424,523059,,
23/03/2007,17.395,17.758,17.297,17.758,381478,,
26/03/2007,17.728,18.17,17.649,17.797,755616,,
